# Copyright (C) 2023  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 22.1std.2 Build 922 07/20/2023 SC Lite Edition
# File: C:\Users\norbert.takacs\SRC\norberttak\homecockpit\fpga\homecockpit.csv
# Generated on: Sun Aug 27 08:46:29 2023

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
input_1[3],Input,PIN_Y16,4A,B4A_N0,PIN_Y16,1.2 V,,,,,,,,,,,,,
input_1[2],Input,PIN_Y15,4A,B4A_N0,PIN_Y15,1.2 V,,,,,,,,,,,,,
input_1[1],Input,PIN_P12,3B,B3B_N0,PIN_P12,1.2 V,,,,,,,,,,,,,
input_1[0],Input,PIN_P11,3B,B3B_N0,PIN_P11,1.2 V,,,,,,,,,,,,,
input_2[7],Input,,,,PIN_E6,,,,,,,,,,,,,,
input_2[6],Input,,,,PIN_T7,,,,,,,,,,,,,,
input_2[5],Input,,,,PIN_AD6,,,,,,,,,,,,,,
input_2[4],Input,,,,PIN_T8,,,,,,,,,,,,,,
input_2[3],Input,,,,PIN_H10,,,,,,,,,,,,,,
input_2[2],Input,,,,PIN_V8,,,,,,,,,,,,,,
input_2[1],Input,,,,PIN_V20,,,,,,,,,,,,,,
input_2[0],Input,,,,PIN_D6,,,,,,,,,,,,,,
input_3[7],Input,,,,PIN_U7,,,,,,,,,,,,,,
input_3[6],Input,,,,PIN_T23,,,,,,,,,,,,,,
input_3[5],Input,,,,PIN_AA23,,,,,,,,,,,,,,
input_3[4],Input,,,,PIN_AC23,,,,,,,,,,,,,,
input_3[3],Input,,,,PIN_AC24,,,,,,,,,,,,,,
input_3[2],Input,,,,PIN_L8,,,,,,,,,,,,,,
input_3[1],Input,,,,PIN_AB24,,,,,,,,,,,,,,
input_3[0],Input,,,,PIN_AC22,,,,,,,,,,,,,,
input_4[7],Input,,,,PIN_E13,,,,,,,,,,,,,,
input_4[6],Input,,,,PIN_AA7,,,,,,,,,,,,,,
input_4[5],Input,,,,PIN_Y23,,,,,,,,,,,,,,
input_4[4],Input,,,,PIN_V24,,,,,,,,,,,,,,
input_4[3],Input,,,,PIN_U20,,,,,,,,,,,,,,
input_4[2],Input,,,,PIN_Y8,,,,,,,,,,,,,,
input_4[1],Input,,,,PIN_Y24,,,,,,,,,,,,,,
input_4[0],Input,,,,PIN_AA6,,,,,,,,,,,,,,
input_5[7],Input,,,,PIN_D7,,,,,,,,,,,,,,
input_5[6],Input,,,,PIN_B7,,,,,,,,,,,,,,
input_5[5],Input,,,,PIN_AC25,,,,,,,,,,,,,,
input_5[4],Input,,,,PIN_AB6,,,,,,,,,,,,,,
input_5[3],Input,,,,PIN_W8,,,,,,,,,,,,,,
input_5[2],Input,,,,PIN_C7,,,,,,,,,,,,,,
input_5[1],Input,,,,PIN_W21,,,,,,,,,,,,,,
input_5[0],Input,,,,PIN_AD7,,,,,,,,,,,,,,
input_6[7],Input,,,,PIN_AA22,,,,,,,,,,,,,,
input_6[6],Input,,,,PIN_G10,,,,,,,,,,,,,,
input_6[5],Input,,,,PIN_K9,,,,,,,,,,,,,,
input_6[4],Input,,,,PIN_R23,,,,,,,,,,,,,,
input_6[3],Input,,,,PIN_V22,,,,,,,,,,,,,,
input_6[2],Input,,,,PIN_A7,,,,,,,,,,,,,,
input_6[1],Input,,,,PIN_W20,,,,,,,,,,,,,,
input_6[0],Input,,,,PIN_L11,,,,,,,,,,,,,,
n_reset,Input,PIN_Y9,3A,B3A_N0,PIN_Y9,2.5 V,,,,,,,,,,,,,
output_0[7],Output,PIN_K8,8A,B8A_N0,PIN_K8,2.5 V,,,,,,,,,,,,,
output_0[6],Output,PIN_K10,8A,B8A_N0,PIN_K10,2.5 V,,,,,,,,,,,,,
output_0[5],Output,PIN_J7,8A,B8A_N0,PIN_J7,2.5 V,,,,,,,,,,,,,
output_0[4],Output,PIN_J8,8A,B8A_N0,PIN_J8,2.5 V,,,,,,,,,,,,,
output_0[3],Output,PIN_G7,8A,B8A_N0,PIN_G7,2.5 V,,,,,,,,,,,,,
output_0[2],Output,PIN_G6,8A,B8A_N0,PIN_G6,2.5 V,,,,,,,,,,,,,
output_0[1],Output,PIN_F6,8A,B8A_N0,PIN_F6,2.5 V,,,,,,,,,,,,,
output_0[0],Output,PIN_F7,8A,B8A_N0,PIN_F7,2.5 V,,,,,,,,,,,,,
output_1[7],Output,PIN_B6,8A,B8A_N0,PIN_B6,2.5 V,,,,,,,,,,,,,
output_1[6],Output,PIN_A5,8A,B8A_N0,PIN_A5,2.5 V,,,,,,,,,,,,,
output_1[5],Output,PIN_E9,8A,B8A_N0,PIN_E9,2.5 V,,,,,,,,,,,,,
output_1[4],Output,PIN_D8,8A,B8A_N0,PIN_D8,2.5 V,,,,,,,,,,,,,
output_1[3],Output,PIN_K6,8A,B8A_N0,PIN_K6,2.5 V,,,,,,,,,,,,,
output_1[2],Output,PIN_L7,8A,B8A_N0,PIN_L7,2.5 V,,,,,,,,,,,,,
output_1[1],Output,PIN_J10,8A,B8A_N0,PIN_J10,2.5 V,,,,,,,,,,,,,
output_1[0],Output,PIN_H7,8A,B8A_N0,PIN_H7,2.5 V,,,,,,,,,,,,,
output_2[7],Output,,,,PIN_H12,,,,,,,,,,,,,,
output_2[6],Output,,,,PIN_G11,,,,,,,,,,,,,,
output_2[5],Output,,,,PIN_G12,,,,,,,,,,,,,,
output_2[4],Output,,,,PIN_D11,,,,,,,,,,,,,,
output_2[3],Output,,,,PIN_F16,,,,,,,,,,,,,,
output_2[2],Output,,,,PIN_L9,,,,,,,,,,,,,,
output_2[1],Output,PIN_H9,8A,B8A_N0,PIN_H9,2.5 V,,,,,,,,,,,,,
output_2[0],Output,PIN_H8,8A,B8A_N0,PIN_H8,2.5 V,,,,,,,,,,,,,
output_3[7],Output,,,,PIN_F12,,,,,,,,,,,,,,
output_3[6],Output,,,,PIN_A12,,,,,,,,,,,,,,
output_3[5],Output,,,,PIN_M9,,,,,,,,,,,,,,
output_3[4],Output,,,,PIN_E10,,,,,,,,,,,,,,
output_3[3],Output,,,,PIN_E11,,,,,,,,,,,,,,
output_3[2],Output,,,,PIN_C12,,,,,,,,,,,,,,
output_3[1],Output,,,,PIN_A13,,,,,,,,,,,,,,
output_3[0],Output,,,,PIN_B12,,,,,,,,,,,,,,
output_4[7],Output,,,,PIN_M11,,,,,,,,,,,,,,
output_4[6],Output,,,,PIN_N9,,,,,,,,,,,,,,
output_4[5],Output,,,,PIN_C13,,,,,,,,,,,,,,
output_4[4],Output,,,,PIN_D13,,,,,,,,,,,,,,
output_4[3],Output,,,,PIN_E15,,,,,,,,,,,,,,
output_4[2],Output,,,,PIN_M10,,,,,,,,,,,,,,
output_4[1],Output,,,,PIN_D12,,,,,,,,,,,,,,
output_4[0],Output,,,,PIN_B11,,,,,,,,,,,,,,
output_5[7],Output,,,,PIN_G14,,,,,,,,,,,,,,
output_5[6],Output,,,,PIN_D18,,,,,,,,,,,,,,
output_5[5],Output,,,,PIN_D10,,,,,,,,,,,,,,
output_5[4],Output,,,,PIN_C9,,,,,,,,,,,,,,
output_5[3],Output,,,,PIN_A22,,,,,,,,,,,,,,
output_5[2],Output,,,,PIN_H15,,,,,,,,,,,,,,
output_5[1],Output,,,,PIN_C18,,,,,,,,,,,,,,
output_5[0],Output,,,,PIN_B10,,,,,,,,,,,,,,
